route_id,split
99c94dc769b5d96e|2018-07-20--20-16-28,validation
99c94dc769b5d96e|2018-07-23--09-23-24,train
99c94dc769b5d96e|2018-07-24--20-31-30,train
99c94dc769b5d96e|2018-07-26--11-09-01,train
99c94dc769b5d96e|2018-07-26--21-25-46,validation
99c94dc769b5d96e|2018-07-27--11-39-28,train
99c94dc769b5d96e|2018-07-27--21-00-35,train
99c94dc769b5d96e|2018-08-01--14-42-27,train
99c94dc769b5d96e|2018-08-01--14-45-10,test
99c94dc769b5d96e|2018-08-03--14-04-02,test
99c94dc769b5d96e|2018-08-07--00-46-34,validation
99c94dc769b5d96e|2018-08-07--00-51-33,train
99c94dc769b5d96e|2018-08-07--10-03-55,train
99c94dc769b5d96e|2018-08-07--21-47-41,train
99c94dc769b5d96e|2018-08-08--11-11-16,train
99c94dc769b5d96e|2018-08-17--09-18-11,train
99c94dc769b5d96e|2018-08-17--15-51-25,train
99c94dc769b5d96e|2018-08-17--19-52-03,train
99c94dc769b5d96e|2018-09-03--15-07-21,test
99c94dc769b5d96e|2018-09-12--22-04-39,validation
99c94dc769b5d96e|2018-09-13--08-45-04,train
99c94dc769b5d96e|2018-09-13--20-42-02,train
99c94dc769b5d96e|2018-09-14--11-24-12,train
99c94dc769b5d96e|2018-09-17--09-23-18,validation
99c94dc769b5d96e|2018-09-18--09-37-29,train
99c94dc769b5d96e|2018-09-18--11-30-46,train
99c94dc769b5d96e|2018-09-19--14-05-38,train
99c94dc769b5d96e|2018-09-19--14-14-47,test
99c94dc769b5d96e|2018-09-19--16-09-16,test
99c94dc769b5d96e|2018-09-24--19-08-05,validation
99c94dc769b5d96e|2018-09-25--09-06-17,train
99c94dc769b5d96e|2018-10-06--10-19-44,train
99c94dc769b5d96e|2018-10-06--10-55-28,train
99c94dc769b5d96e|2018-10-12--20-13-54,train
99c94dc769b5d96e|2018-10-14--14-06-44,train
99c94dc769b5d96e|2018-10-14--19-58-04,train
99c94dc769b5d96e|2018-10-15--08-45-15,train
99c94dc769b5d96e|2018-10-15--13-41-14,validation
99c94dc769b5d96e|2018-10-15--13-43-11,test
99c94dc769b5d96e|2018-10-15--14-39-02,train
99c94dc769b5d96e|2018-10-15--20-34-02,train
99c94dc769b5d96e|2018-10-16--10-13-38,train
99c94dc769b5d96e|2018-10-16--21-16-47,validation
99c94dc769b5d96e|2018-10-17--10-24-00,train
99c94dc769b5d96e|2018-10-25--13-21-14,train
99c94dc769b5d96e|2018-10-25--20-02-58,train
99c94dc769b5d96e|2018-10-25--20-55-47,validation
99c94dc769b5d96e|2018-10-28--10-45-34,test
99c94dc769b5d96e|2018-10-28--11-13-03,train
99c94dc769b5d96e|2018-10-30--13-54-09,train
99c94dc769b5d96e|2018-11-03--23-08-44,train
99c94dc769b5d96e|2018-11-03--23-19-38,train
99c94dc769b5d96e|2018-11-04--08-49-46,test
99c94dc769b5d96e|2018-11-05--20-32-38,train
99c94dc769b5d96e|2018-11-06--08-40-05,train
99c94dc769b5d96e|2018-11-07--10-06-00,train
99c94dc769b5d96e|2018-11-07--20-57-42,train
99c94dc769b5d96e|2018-11-08--08-43-22,train
99c94dc769b5d96e|2018-11-09--20-49-26,test
99c94dc769b5d96e|2018-11-12--23-26-14,validation
99c94dc769b5d96e|2018-11-13--10-09-22,train
99c94dc769b5d96e|2018-11-13--21-14-19,validation
99c94dc769b5d96e|2018-11-14--13-31-42,train
99c94dc769b5d96e|2018-11-15--01-02-09,validation
99c94dc769b5d96e|2018-11-15--01-05-25,train
99c94dc769b5d96e|2018-11-15--10-31-50,train
99c94dc769b5d96e|2018-11-15--21-00-40,test
99c94dc769b5d96e|2018-11-16--10-00-42,test
99c94dc769b5d96e|2018-11-16--15-02-13,train
99c94dc769b5d96e|2018-11-16--15-11-03,train
99c94dc769b5d96e|2018-11-16--23-46-35,train
99c94dc769b5d96e|2018-11-19--09-56-45,train
b0c9d2329ad1606b|2018-07-27--06-03-57,train
b0c9d2329ad1606b|2018-07-27--06-50-48,train
b0c9d2329ad1606b|2018-07-29--11-17-20,train
b0c9d2329ad1606b|2018-07-29--12-02-42,train
b0c9d2329ad1606b|2018-07-29--16-37-17,validation
b0c9d2329ad1606b|2018-07-30--13-03-07,test
b0c9d2329ad1606b|2018-07-30--13-44-30,train
b0c9d2329ad1606b|2018-07-31--20-50-28,train
b0c9d2329ad1606b|2018-08-01--21-13-49,train
b0c9d2329ad1606b|2018-08-02--08-34-47,validation
b0c9d2329ad1606b|2018-08-02--16-41-38,train
b0c9d2329ad1606b|2018-08-03--10-35-16,train
b0c9d2329ad1606b|2018-08-06--10-04-53,train
b0c9d2329ad1606b|2018-08-10--22-42-26,validation
b0c9d2329ad1606b|2018-08-14--10-32-01,test
b0c9d2329ad1606b|2018-08-14--20-41-07,train
b0c9d2329ad1606b|2018-08-15--09-01-03,train
b0c9d2329ad1606b|2018-08-16--21-52-30,train
b0c9d2329ad1606b|2018-08-17--12-07-08,train
b0c9d2329ad1606b|2018-08-17--14-17-47,test
b0c9d2329ad1606b|2018-08-17--14-55-39,train
b0c9d2329ad1606b|2018-08-18--18-20-55,train
b0c9d2329ad1606b|2018-08-24--18-40-57,train
b0c9d2329ad1606b|2018-09-13--22-01-21,train
b0c9d2329ad1606b|2018-09-15--17-50-36,train
b0c9d2329ad1606b|2018-09-20--19-47-23,validation
b0c9d2329ad1606b|2018-09-21--09-50-40,test
b0c9d2329ad1606b|2018-09-21--23-18-39,train
b0c9d2329ad1606b|2018-09-23--12-52-06,train
b0c9d2329ad1606b|2018-09-23--23-24-40,train
b0c9d2329ad1606b|2018-09-24--12-49-08,validation
b0c9d2329ad1606b|2018-10-05--20-16-56,train
b0c9d2329ad1606b|2018-10-05--20-46-40,train
b0c9d2329ad1606b|2018-10-05--21-20-29,train
b0c9d2329ad1606b|2018-10-05--22-20-31,validation
b0c9d2329ad1606b|2018-10-09--14-06-32,test
b0c9d2329ad1606b|2018-10-09--15-48-37,train
b0c9d2329ad1606b|2018-10-19--22-01-05,train
b0c9d2329ad1606b|2018-10-22--11-21-08,train
b0c9d2329ad1606b|2018-11-03--15-05-15,train
b0c9d2329ad1606b|2018-11-03--15-33-09,test
b0c9d2329ad1606b|2018-11-11--13-08-44,train
